"lng","lat","name","type","area_km2"
-0.229258261628682,51.5388449225949,"Willesden Sports Centre","Other Sports Facility",0.126264444576663
-0.338975988514837,51.5312199646878,NA,"Other Sports Facility",0.169989246132672
-0.0605133432370313,51.5535197030745,"Hackney Downs","Public Park Or Garden",0.162673403059276
-0.0292589423907127,51.5565038440659,"Hackney Marshes Centre","Other Sports Facility",0.754479265765295
-0.0298232110647505,51.5572285137904,"Hackney Marsh","Playing Field",0.537029673516662
-0.030533303283382,51.5484661257845,"Mabley Green","Playing Field",0.123691103290197
-0.0162082045934443,51.5472768537609,"Queen Elizabeth Olympic Park","Public Park Or Garden",0.278673895203079
-0.0336766018883717,51.5384735370837,"Victoria Park","Public Park Or Garden",0.863727401721965
-0.0588175406830587,51.5403894371206,"London Fields","Public Park Or Garden",0.128421769751239
-0.153514876679813,51.5308198203797,"Regent's Park","Public Park Or Garden",1.35996806886552
-0.159495775146487,51.538436001395,"Primrose Hill","Public Park Or Garden",0.252418492155269
-0.0331379810457174,51.5215069370129,"Mile End Park","Public Park Or Garden",0.137673088743519
-0.73856354566817,51.6238853567057,NA,"Playing Field",0.221551759668861
-0.545687436490927,51.6342879560054,"Newland Park","Public Park Or Garden",0.23585799586878
-0.757256918827686,51.6254483693064,"Tom Burt's Hill","Public Park Or Garden",0.119834334437381
-0.752287847236362,51.6460403300848,"Hughenden Park","Public Park Or Garden",0.464906733295698
-0.415007122785328,51.641422065231,"King George V Playing Fields","Playing Field",0.131415494749198
-0.400055792165026,51.631289722107,"South Oxhey Playing Fields","Playing Field",0.634958607795557
-0.456862112669024,51.6158505553264,"Bishops Wood Country Park","Public Park Or Garden",0.402599524438202
-0.708794291959606,51.613408841393,NA,"Other Sports Facility",0.152695031156577
-0.458229658527244,51.5884696451068,"Bayhurst Wood Country Park","Public Park Or Garden",0.367911345319489
-0.571379033636165,51.5859570669763,"Bulstrode Park","Public Park Or Garden",0.952038006739813
-0.483786157504336,51.5654723970982,"Denham Country Park","Public Park Or Garden",0.107340259903086
-0.434625846103239,51.5401476394266,NA,"Playing Field",0.117510378457374
-0.453683215393763,51.5438314824616,"Hillingdon Court Park","Playing Field",0.224309313139624
-0.464240285488524,51.5525489679656,"Hillingdon Sports And Leisure Complex","Other Sports Facility",0.32022587804611
-0.406544652174466,51.5613104179137,NA,"Playing Field",0.12010456668905
-0.611144958853508,51.541009332576,"Slough Community Centre Park","Other Sports Facility",0.251808273170826
-0.672128772601671,51.5369293599888,"Hitcham Park","Public Park Or Garden",0.218942505510885
-0.681981258446277,51.5545814957429,NA,"Public Park Or Garden",0.12383591834116
-0.683979879631987,51.5667923103357,"Hedsor Park","Public Park Or Garden",0.826287743342269
-0.754454556690856,51.550201295056,"Cookham Dean Common","Public Park Or Garden",0.179386542315212
-0.454628717323426,51.515945468093,"Stockley Country Park","Public Park Or Garden",0.17238545687913
-0.408945098997452,51.5284698896886,"Grange Park","Public Park Or Garden",0.544086137315535
